Ligand_SMILES,Decoy_SMILES,Actividad,psmis
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@@H](C[C@@H]([C@@H](O2)O[C@@H]3[C@@H](C[C@@H]([C@@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@@H](C[C@@H]([C@@H](O2)O[C@@H]3[C@@H](C[C@@H]([C@@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)N)O)O)O,0,[R]OCOCO[R]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@@H](C[C@@H]([C@@H](O2)O[C@@H]3[C@@H](C[C@@H]([C@@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@@H](C[C@@H]([C@@H](O2)O[C@@H]3[C@@H](C[C@@H]([C@@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)N)O)O)O,0,N[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@@H](C[C@@H]([C@@H](O2)O[C@@H]3[C@@H](C[C@@H]([C@@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@@H](C[C@@H]([C@@H](O2)O[C@@H]3[C@@H](C[C@@H]([C@@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@@H](C[C@@H]([C@@H](O2)O[C@@H]3[C@@H](C[C@@H]([C@@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[R]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R]OCO[R]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R]OCOCO[R]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,N[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[R]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R]OCO[R]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,[R]OCOCO[R]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,N[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@H]1[C@H]([C@@H]2[C@H](C[C@H]([C@@H](O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[R]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,[R]OCO[R]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,[R][N+]([R])([R])[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,[R]OCOCO[R]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,N[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,O[Cal]
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)[NH3+])O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)C[NH3+])O)[NH3+])[NH3+],C[NH2+][C@@H]1[C@@H]([C@@H]2[C@H](C[C@H]([C@H](O2)O[C@@H]3[C@H](C[C@@H]([C@H]([C@@H]3O)O)[NH3+])[NH3+])[NH3+])O[C@H]1O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)N)O)O)O,0,O[Cal]
